序号,日期,开赛时间,比赛ID,赛事,比赛,比赛分类,微观板块,盘口意图标签,盘口档位,正向水位,反向水位,已结算
37,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2996120-赛况更新-不新建赛前模拟,荷甲,前进之鹰 vs 海牙,成年联赛T1,欧洲非五大,阻下/上盘保护,半球/一球,0.8500,1.0400,是
38,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2996121-赛况更新-不新建赛前模拟,荷甲,埃因霍温 vs 格罗宁根,成年联赛T1,欧洲非五大,真实示强/阻上,球半/两球,0.9300,0.9500,是
39,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2996122-盘口快照-不形成模拟,荷甲,坎布尔 vs 费耶诺德,成年联赛T1,欧洲非五大,真实示强/阻上,两球,0.9700,0.9200,是
40,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-2996431-盘口快照-不形成模拟,荷乙,芬洛 vs 格拉夫夏普,成年联赛T2,欧洲非五大,降温保护/诱下,平手,0.8500,1.0300,是
41,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3000422-赛况更新-不新建赛前模拟,日职联,町田泽维亚<font color=#880000>(中)</font> vs 浦和红钻,成年联赛T1,东亚,降温保护/诱下,半球,0.8800,1.0000,是
42,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3001143-赛况更新-不新建赛前模拟,日职丙,高知联合 vs 赞岐,成年联赛T3,东亚,诱上/阻下,平手,1.1400,0.7500,是
43,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3001148-赛况更新-不新建赛前模拟,日职丙,SC相模原 vs 金泽,成年联赛T3,东亚,诱上/阻下,平手,1.0600,0.8200,是
44,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3003545-赛况更新-不新建赛前模拟,比甲,洛默尔 vs 韦斯特洛,成年联赛T1,欧洲非五大,阻上/诱下,平手/半球,1.0100,0.8700,是
45,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3003855-赛况更新-不新建赛前模拟,英超,布莱顿 vs 阿斯顿维拉,成年联赛T1,欧洲五大,诱上/阻下,平手/半球,1.1200,0.7800,是
47,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3003857-盘口快照-不形成模拟,英超,纽卡斯尔联 vs 利物浦,成年联赛T1,欧洲五大,真实示强/阻上,半球,0.9000,0.9900,是
48,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3005369-赛况更新-不新建赛前模拟,比乙,亨克B队 vs RFC列日,成年联赛T2,欧洲非五大,真实示弱/阻下,平手,0.9700,0.8900,是
49,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3008171-赛况更新-不新建赛前模拟,英冠,西布罗姆维奇 vs 伯恩利,成年联赛T2,欧洲五大,诱上/阻下,平手,1.0700,0.8200,是
50,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3012268-赛况更新-不新建赛前模拟,俄超,阿克伦陶里亚蒂 vs 苏维埃之翼,成年联赛T1,欧洲非五大,阻下/上盘保护,平手,0.8600,1.0200,是
53,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3013653-盘口快照-不形成模拟,西甲,马德里竞技 vs 比利亚雷亚尔,成年联赛T1,欧洲五大,阻上/诱下,半球/一球,1.0700,0.8200,是
54,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3014037-盘口快照-不形成模拟,西乙,埃瓦尔 vs 巴拉多利德,成年联赛T2,欧洲五大,阻上/诱下,半球,1.0500,0.8400,是
55,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3023457-盘口快照-不形成模拟,葡超,吉马良斯 vs 葡萄牙国民,成年联赛T1,欧洲非五大,阻上/诱下,一球,1.0700,0.8200,是
56,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3023756-赛况更新-不新建赛前模拟,葡甲,查维斯 vs AVS俱乐部,成年联赛T2,欧洲非五大,真实示弱/阻下,平手/半球,1.0400,0.8400,是
58,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3030106-赛况更新-不新建赛前模拟,土甲,班迪马士邦 vs 克斯欧仁古库,成年联赛T2,欧洲非五大,诱上/阻下,平手,1.0300,0.8300,是
59,2026-08-23,2026-08-23 00:00:00,20260823-TITAN-3068034-赛况更新-不新建赛前模拟,葡乙,帕雷德斯 vs 利卡,成年联赛T3,欧洲非五大,诱上/阻下,半球,0.9600,0.7400,是
60,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2910857-盘口快照-不形成模拟,巴西甲,博塔弗戈 vs 巴拉纳竞技,成年联赛T1,拉美,阻上/降温保护,平手/半球,,,否
61,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2912247-盘口快照-不形成模拟,瑞典超,马尔默 vs 尤尔加登,成年联赛T1,欧洲非五大,诱上/阻下,平手,1.0700,0.8200,是
64,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2914670-盘口快照-不形成模拟,瑞典甲,韦纳穆 vs 兰斯科罗纳,成年联赛T2,欧洲非五大,阻上/降温保护,平手/半球,,,否
67,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2921220-盘口快照-不形成模拟,智利甲,维尼亚德马埃弗顿 vs 康塞普西翁大学,成年联赛T1,拉美,真实示弱/阻下,半球,0.9700,0.9200,是
68,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2924634-盘口快照-不形成模拟,冰岛超,贝雷达比历克 vs 弗拉姆,成年联赛T1,欧洲非五大,阻下/上盘保护,平手,0.8500,1.0300,是
69,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2926296-盘口快照-不形成模拟,智利乙,坎尔托塔 vs 圣地亚哥漫游者,成年联赛T2,拉美,诱上/阻下,平手/半球,1.0000,0.8200,是
70,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2933125-盘口快照-不形成模拟,乌兹超,库鲁维奇科坎 vs 布哈拉,成年联赛T1,海湾,真实示强/阻上,平手/半球,0.9500,0.9100,是
73,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2940135-盘口快照-不形成模拟,巴西乙,巴西竞技 vs 诺瓦里桑蒂诺,成年联赛T2,拉美,诱上/阻下,平手,1.1300,0.7700,是
75,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2942569-盘口快照-不形成模拟,美冠联,查尔斯顿电池 vs 迈阿密FC,成年联赛T2,北美,诱下/上盘降温,一球/球半,0.9900,0.8300,是
76,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2962591-盘口快照-不形成模拟,阿甲,塔勒瑞斯 vs 罗萨里奥中央,成年联赛T1,拉美,阻下/上盘保护,平手,0.8500,1.0400,是
77,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2962592-盘口快照-不形成模拟,阿甲,泰格雷 vs 科尔多瓦中央SDE,成年联赛T1,拉美,真实示弱/阻下,半球/一球,1.0000,0.8900,是
78,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2993755-盘口快照-不形成模拟,意甲,罗马 vs 佛罗伦萨,成年联赛T1,欧洲五大,真实示弱/阻下,半球/一球,0.9400,0.9500,是
79,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2993757-盘口快照-不形成模拟,意甲,博洛尼亚 vs 拉齐奥,成年联赛T1,欧洲五大,真实示弱/阻下,平手/半球,0.8700,1.0200,是
80,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2995126-盘口快照-不形成模拟,德国杯,艾尔格里尼克<font color=#880000>(中)</font> vs 沃尔夫斯堡,国内杯赛,欧洲五大,真实示强/阻上,两球半,0.8800,1.0000,是
81,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2995127-盘口快照-不形成模拟,德国杯,SC维尔 vs 汉堡,国内杯赛,欧洲五大,阻上/诱下,球半,1.0000,0.8800,是
82,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2995139-盘口快照-不形成模拟,德国杯,哈雷斯彻 vs 沙尔克04,国内杯赛,欧洲五大,真实示强/阻上,球半/两球,0.9100,0.9700,是
83,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2995148-盘口快照-不形成模拟,德国杯,维尔茨堡踢球者 vs 科隆,国内杯赛,欧洲五大,诱上/阻下,球半,1.0800,0.8000,是
84,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-2997696-盘口快照-不形成模拟,法乙,兰斯 vs 阿纳西,成年联赛T2,欧洲五大,阻上/降温保护,半球/一球,,,否
86,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3003858-盘口快照-不形成模拟,英超,富勒姆 vs 切尔西,成年联赛T1,欧洲五大,真实示强/阻上,半球,0.8900,1.0000,是
87,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3012269-盘口快照-不形成模拟,俄超,加里宁格勒巴蒂卡 vs 喀山红宝石,成年联赛T1,欧洲非五大,降温保护/诱下,平手/半球,0.8000,1.0900,是
88,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3013658-盘口快照-不形成模拟,西甲,马拉加 vs 拉科鲁尼亚,成年联赛T1,欧洲五大,阻上/降温保护,平手/半球,,,否
89,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3013659-盘口快照-不形成模拟,西甲,奥萨苏纳 vs 莱万特,成年联赛T1,欧洲五大,真实示弱/阻下,半球,1.0000,0.8900,是
90,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3014039-盘口快照-不形成模拟,西乙,格拉纳达 vs 马洛卡,成年联赛T2,欧洲五大,阻上/诱下,平手/半球,1.1200,0.7800,是
91,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3014043-盘口快照-不形成模拟,西乙,塞尔塔B队 vs 安道尔FC,成年联赛T2,欧洲五大,阻下/上盘保护,平手/半球,0.8600,1.0300,是
93,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3021954-盘口快照-不形成模拟,俄甲,下诺夫哥罗德 vs SKA哈巴罗夫斯克,成年联赛T2,欧洲非五大,诱上/阻下,球半/两球,0.9900,0.8300,是
94,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3021955-盘口快照-不形成模拟,俄甲,伏尔加格勒 vs 下卡姆斯克石油,成年联赛T2,欧洲非五大,诱上/阻下,半球/一球,1.0400,0.7800,是
95,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3021960-盘口快照-不形成模拟,俄甲,韦莱斯 vs 图拉兵工厂,成年联赛T2,欧洲非五大,诱上/阻下,平手/半球,1.0000,0.8200,是
100,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3030112-盘口快照-不形成模拟,土甲,锡瓦斯体育 vs 文尼沙BB,成年联赛T2,欧洲非五大,真实示弱/阻下,平手/半球,0.9200,0.9400,是
101,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3050504-盘口快照-不形成模拟,意丙,US弗格尔 vs 多洛米蒂贝卢诺,成年联赛T3,欧洲五大,诱上/阻下,平手/半球,1.0200,0.8000,是
103,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3050888-盘口快照-不形成模拟,意丙,雷吉亚纳 vs 拉维纳,成年联赛T3,欧洲五大,诱上/阻下,平手/半球,1.0700,0.7500,是
104,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3051261-盘口快照-不形成模拟,意丙,阿尔塔穆拉 vs 摩诺波利,成年联赛T3,欧洲五大,诱上/阻下,平手/半球,0.9900,0.8300,是
105,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3051266-盘口快照-不形成模拟,意丙,克罗托内 vs 福贾,成年联赛T3,欧洲五大,真实示弱/阻下,平手/半球,0.9700,0.8500,是
106,2026-08-24,2026-08-24 00:00:00,20260824-TITAN-3051270-盘口快照-不形成模拟,意丙,萨勒尼塔纳 vs 索伦托卡西奥,成年联赛T3,欧洲五大,诱上/阻下,一球,0.9900,0.8300,是
107,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2914667-盘口快照-不形成模拟,瑞典甲,奥雷布洛 vs 瓦尔贝里,成年联赛T2,欧洲非五大,阻上/诱下,平手/半球,1.0400,0.8400,是
108,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2914668-盘口快照-不形成模拟,瑞典甲,奥斯达 vs 松兹瓦尔,成年联赛T2,欧洲非五大,真实示弱/阻下,半球/一球,0.9900,0.8900,是
111,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2929700-盘口快照-不形成模拟,韩K联,济州SK vs 浦项制铁,成年联赛T1,东亚,阻上/降温保护,平手/半球,,,否
112,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2929701-盘口快照-不形成模拟,韩K联,FC首尔 vs 富川FC,成年联赛T1,东亚,阻上/诱下,一球/球半,1.0400,0.8500,是
115,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2933130-盘口快照-不形成模拟,乌兹超,特尔梅兹 vs 奥马利克,成年联赛T1,海湾,诱上/阻下,平手/半球,1.1600,0.6800,是
116,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2934761-盘口快照-不形成模拟,阿乙曼特秋,萨兰迪兵工厂 vs 意杜萨高,成年联赛T2,拉美,诱下/上盘降温,一球/球半,0.9500,0.7500,是
117,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2934766-盘口快照-不形成模拟,阿乙曼特秋,皇家皮拉尔 vs 布朗安德奎,成年联赛T2,拉美,阻上/降温保护,半球,,,否
118,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2934767-盘口快照-不形成模拟,阿乙曼特秋,圣马丁布萨科 vs 基尔梅斯阿根廷,成年联赛T2,拉美,真实示强/阻上,平手/半球,0.9500,0.7500,是
119,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2934768-盘口快照-不形成模拟,阿乙曼特秋,意大利亚诺 vs 联合防卫队,成年联赛T2,拉美,诱下/上盘降温,半球/一球,0.9200,0.7800,是
120,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2934769-盘口快照-不形成模拟,阿乙曼特秋,乌尔基萨大学 vs 拉费雷尔,成年联赛T2,拉美,诱上/阻下,平手,1.0000,0.7000,是
121,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2934770-盘口快照-不形成模拟,阿乙曼特秋,维拉多尔米尼 vs 埃斯卡拉达,成年联赛T2,拉美,诱上/阻下,平手,0.9300,0.7700,是
122,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2934771-盘口快照-不形成模拟,阿乙曼特秋,维拉圣卡罗斯 vs 弗朗德里亚,成年联赛T2,拉美,诱下/上盘降温,平手/半球,0.9300,0.7700,是
123,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2937893-赛况更新-不新建赛前模拟,厄瓜甲,利伯塔德洛哈 vs 马卡拉,成年联赛T1,拉美,阻下/上盘保护,平手/半球,0.8500,1.0300,是
125,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2953331-盘口快照-不形成模拟,哈萨克超,杜堡尔 vs 卡萨尔,未知分类,海湾,诱上/阻下,半球/一球,1.0300,0.8300,是
126,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-2962591-赛况更新-不新建赛前模拟,阿甲,塔勒瑞斯 vs 罗萨里奥中央,成年联赛T1,拉美,诱上/阻下,平手,1.1400,0.7600,是
128,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3012165-赛况更新-不新建赛前模拟,哥伦乙秋,哥杜雷亚 vs 巴瑞库拉,成年联赛T2,拉美,阻上/降温保护,一球/球半,,,否
129,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3013651-盘口快照-不形成模拟,西甲,巴伦西亚 vs 皇家贝蒂斯,成年联赛T1,欧洲五大,诱上/阻下,平手,1.0600,0.8300,是
130,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3017117-盘口快照-不形成模拟,保乙,贝尔罗 vs 保利文斯巴达,未知分类,欧洲非五大,诱上/阻下,半球,0.9800,0.8400,是
132,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3036305-盘口快照-不形成模拟,苏挑杯,艾尔德里联 vs 艾比安斯特宁,国内杯赛,欧洲非五大,诱上/阻下,半球/一球,1.0200,0.6800,是
133,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3036307-盘口快照-不形成模拟,苏挑杯,安南竞技 vs 贝维克,国内杯赛,欧洲非五大,诱上/阻下,一球,0.9100,0.7900,是
134,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3036309-盘口快照-不形成模拟,苏挑杯,考登比亚 vs 东基尔布莱德,国内杯赛,欧洲非五大,诱上/阻下,球半/两球,0.8600,0.8400,是
135,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3036311-盘口快照-不形成模拟,苏挑杯,科莱池那库丁 vs 埃尔金城,国内杯赛,欧洲非五大,诱上/阻下,半球,0.8600,0.8400,是
136,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3036313-盘口快照-不形成模拟,苏挑杯,邓巴顿 vs 凯尔特人B队,国内杯赛,欧洲非五大,阻上/降温保护,平手/半球,,,否
137,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3036317-盘口快照-不形成模拟,苏挑杯,哈密尔顿 vs 爱丁堡,国内杯赛,欧洲非五大,诱上/阻下,半球/一球,0.9500,0.7500,是
138,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3036318-盘口快照-不形成模拟,苏挑杯,凯尔蒂赫斯 vs 克莱德班克,国内杯赛,欧洲非五大,诱下/上盘降温,半球,0.9900,0.7100,是
139,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3036319-盘口快照-不形成模拟,苏挑杯,蒙特罗斯 vs 加迪,国内杯赛,欧洲非五大,诱上/阻下,半球,0.8600,0.8400,是
140,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3036322-盘口快照-不形成模拟,苏挑杯,罗斯郡 vs 迪伊银行,国内杯赛,欧洲非五大,诱上/阻下,两球,1.0200,0.6800,是
141,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3036324-盘口快照-不形成模拟,苏挑杯,斯青威尔 vs 加拉费瑞登,国内杯赛,欧洲非五大,诱上/阻下,球半/两球,0.9500,0.7500,是
142,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3041157-盘口快照-不形成模拟,南非超,克鲁格联 vs 德班城,未知分类,其他,阻上/降温保护,平手/半球,,,否
143,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3041158-盘口快照-不形成模拟,南非超,马鲁莫加兰斯 vs TS银河,未知分类,其他,真实示弱/阻下,平手,1.0700,0.7500,是
146,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3046951-盘口快照-不形成模拟,沙特联,艾卜哈 vs 塞哈特海湾,未知分类,海湾,真实示弱/阻下,平手,0.9300,0.8900,是
147,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3046952-盘口快照-不形成模拟,沙特联,布赖代合作 vs 费哈,未知分类,海湾,真实示弱/阻下,半球,1.0000,0.8200,是
150,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3061692-盘口快照-不形成模拟,丹麦杯,布隆索伊 vs AB格莱萨克瑟,国内杯赛,欧洲非五大,诱上/阻下,半球/一球,0.9200,0.8400,是
151,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3061702-盘口快照-不形成模拟,丹麦杯,欧科斯 vs 米德法特,国内杯赛,欧洲非五大,诱上/阻下,两球半,0.9400,0.8200,是
152,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3061704-盘口快照-不形成模拟,丹麦杯,斯基夫 vs 埃斯比约,国内杯赛,欧洲非五大,诱下/上盘降温,半球/一球,0.9500,0.8100,是
153,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062528-盘口快照-不形成模拟,欧冠杯,萨巴赫<font color=#880000>(中)</font> vs 贝尔谢巴夏普尔,洲际杯赛,欧洲非五大,真实示弱/阻下,半球,0.9600,0.9300,是
154,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062529-盘口快照-不形成模拟,欧冠杯,LASK林茨 vs 凯尔特人,洲际杯赛,欧洲非五大,阻下/上盘保护,半球,0.8700,1.0200,是
155,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062530-盘口快照-不形成模拟,欧冠杯,博德闪耀 vs 奈梅亨,洲际杯赛,欧洲非五大,阻上/诱下,一球/球半,1.0100,0.8800,是
156,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062759-盘口快照-不形成模拟,英联杯,巴恩斯利 vs 克鲁,国内杯赛,欧洲五大,阻上/降温保护,一球,,,否
157,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062760-盘口快照-不形成模拟,英联杯,伯明翰 vs 布伦特福德,国内杯赛,欧洲五大,诱上/阻下,半球,1.0000,0.8200,是
159,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062762-盘口快照-不形成模拟,英联杯,布莱克浦 vs 林肯城,国内杯赛,欧洲五大,诱下/上盘降温,半球,0.9900,0.8300,是
161,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062765-盘口快照-不形成模拟,英联杯,卡迪夫城 vs 诺维奇,国内杯赛,欧洲五大,诱下/上盘降温,平手/半球,0.9800,0.8400,是
162,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062767-盘口快照-不形成模拟,英联杯,唐卡斯特 vs 米德尔斯堡,国内杯赛,欧洲五大,阻上/诱下,一球,1.0300,0.7900,是
163,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062768-盘口快照-不形成模拟,英联杯,弗利特伍德 vs 什鲁斯伯里,国内杯赛,欧洲五大,阻上/降温保护,半球,,,否
164,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062770-盘口快照-不形成模拟,英联杯,伊普斯维奇 vs 莱斯特城,国内杯赛,欧洲五大,诱上/阻下,一球,0.9900,0.8300,是
165,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062772-盘口快照-不形成模拟,英联杯,诺丁汉森林 vs 利兹联,国内杯赛,欧洲五大,诱上/阻下,平手/半球,1.0100,0.8100,是
166,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062774-盘口快照-不形成模拟,英联杯,谢周三 vs 狼队,国内杯赛,欧洲五大,阻上/诱下,一球,1.0100,0.8100,是
168,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062776-盘口快照-不形成模拟,英联杯,斯蒂文尼奇 vs 雷丁,国内杯赛,欧洲五大,诱下/上盘降温,平手/半球,0.9800,0.8400,是
