date,match,result,pnl,source
2026-08-16,尤尔加登 vs AIK,赛果未匹配待人工核验,不计,missing
2026-08-16,卡尔马 vs 哈马比,赛果未匹配待人工核验,不计,missing
2026-08-16,布兰 vs 汉坎,赛果未匹配待人工核验,不计,missing
2026-08-16,莫尔德 vs 特罗姆瑟,赛果未匹配待人工核验,不计,missing
2026-08-16,苏维埃之翼 vs 马哈奇卡拉迪纳摩,赛果未匹配待人工核验,不计,missing
2026-08-16,沙佩科恩斯 vs 巴伊亚,赛果未匹配待人工核验,不计,missing
2026-08-16,米拉索尔 vs 弗拉门戈,赛果未匹配待人工核验,不计,missing
2026-08-16,科林蒂安 vs 克鲁塞罗,赛果未匹配待人工核验,不计,missing
2026-08-16,蓬塔格罗萨铁路 vs 阿瓦伊,赛果未匹配待人工核验,不计,missing
2026-08-16,萨米恩托 vs 飓风,赛果未匹配待人工核验,不计,missing
2026-08-16,河床 vs 阿根廷青年人,赛果未匹配待人工核验,不计,missing
2026-08-16,纽约城 vs 费城联合,赛果未匹配待人工核验,不计,missing
2026-08-16,西雅图海湾人 vs 温哥华白帽,赛果未匹配待人工核验,不计,missing
2026-08-16,仁川联 vs 金泉尚武,赛果未匹配待人工核验,不计,missing
2026-08-17,Sporting Gijon vs Sabadell,赛果未匹配待人工核验,不计,missing
2026-08-17,Almeria vs Eldense,赛果未匹配待人工核验,不计,missing
2026-08-17,De Graafschap vs Jong AZ,赛果未匹配待人工核验,不计,missing
2026-08-17,Jong Ajax vs FC Emmen,赛果未匹配待人工核验,不计,missing
2026-08-17,Jong Utrecht vs Vitesse,赛果未匹配待人工核验,不计,missing
2026-08-17,Samsunspor vs Goztepe,赛果未匹配待人工核验,不计,missing
2026-08-17,Internacional vs Remo,赛果未匹配待人工核验,不计,missing
2026-08-17,Velez Sarsfield vs Defensa y Justicia,赛果未匹配待人工核验,不计,missing
2026-08-17,Gimnasia Mendoza vs Talleres,赛果未匹配待人工核验,不计,missing
2026-08-18,Sao Paulo vs Bolivar,赛果未匹配待人工核验,不计,missing
2026-08-18,Londrina vs Atletico Goianiense,赛果未匹配待人工核验,不计,missing
2026-08-18,Nautico vs Ceara,赛果未匹配待人工核验,不计,missing
2026-08-18,Goias vs Juventude,赛果未匹配待人工核验,不计,missing
2026-08-19,Columbus Crew vs CF Montreal,赛果未匹配待人工核验,不计,missing
2026-08-19,DC United vs New England Revolution,赛果未匹配待人工核验,不计,missing
2026-08-19,FC Cincinnati vs New York City FC,赛果未匹配待人工核验,不计,missing
2026-08-19,Orlando City vs Chicago Fire,赛果未匹配待人工核验,不计,missing
2026-08-19,Philadelphia Union vs Inter Miami,赛果未匹配待人工核验,不计,missing
2026-08-19,New York Red Bulls vs Nashville SC,赛果未匹配待人工核验,不计,missing
2026-08-19,Toronto FC vs Charlotte FC,赛果未匹配待人工核验,不计,missing
2026-08-19,Sporting Kansas City vs St. Louis City,赛果未匹配待人工核验,不计,missing
2026-08-19,Minnesota United vs Atlanta United,赛果未匹配待人工核验,不计,missing
2026-08-19,Colorado Rapids vs LAFC,赛果未匹配待人工核验,不计,missing
2026-08-19,Real Salt Lake vs FC Dallas,赛果未匹配待人工核验,不计,missing
2026-08-19,Seattle Sounders vs Austin FC,赛果未匹配待人工核验,不计,missing
2026-08-19,LA Galaxy vs San Jose Earthquakes,赛果未匹配待人工核验,不计,missing
2026-08-19,Portland Timbers vs San Diego FC,赛果未匹配待人工核验,不计,missing
2026-08-19,Vancouver Whitecaps vs Houston Dynamo,赛果未匹配待人工核验,不计,missing
2026-08-19,Phoenix Rising vs Colorado Springs,赛果未匹配待人工核验,不计,missing
2026-08-19,Avai vs Sport,赛果未匹配待人工核验,不计,missing
2026-08-19,Fortaleza vs Sao Bernardo,赛果未匹配待人工核验,不计,missing
2026-08-19,Cuiaba vs Operario PR,赛果未匹配待人工核验,不计,missing
2026-08-19,Vila Nova vs Ponte Preta,赛果未匹配待人工核验,不计,missing
2026-08-19,Botafogo-SP vs Criciuma,赛果未匹配待人工核验,不计,missing
2026-08-19,Atletico-MG vs Red Bull Bragantino,赛果未匹配待人工核验,不计,missing
2026-08-19,Independiente Santa Fe vs River Plate,赛果未匹配待人工核验,不计,missing
2026-08-19,Montevideo City Torque vs Tigre,赛果未匹配待人工核验,不计,missing
2026-08-20,Sheffield Wednesday vs Bradford City,赛果未匹配待人工核验,不计,missing
2026-08-20,Rayo Vallecano vs Alaves,赛果未匹配待人工核验,不计,missing
2026-08-20,Kairat Almaty vs Anderlecht,赛果未匹配待人工核验,不计,missing
2026-08-20,Jagiellonia vs Iberia 1999,赛果未匹配待人工核验,不计,missing
2026-08-20,Mjallby vs Salzburg,赛果未匹配待人工核验,不计,missing
2026-08-20,Besiktas vs Kauno Zalgiris,赛果未匹配待人工核验,不计,missing
2026-08-20,Craiova vs Ararat-Armenia,赛果未匹配待人工核验,不计,missing
2026-08-20,Egnatia vs Lillestrom,赛果未匹配待人工核验,不计,missing
2026-08-20,Lech Poznan vs Thun,赛果未匹配待人工核验,不计,missing
2026-08-20,Trabzonspor vs Ferencvaros,赛果未匹配待人工核验,不计,missing
2026-08-20,Crvena Zvezda vs Viktoria Plzen,赛果未匹配待人工核验,不计,missing
2026-08-20,OFI vs CSKA Sofia,赛果未匹配待人工核验,不计,missing
2026-08-20,Sint-Truidense vs Omonia,赛果未匹配待人工核验,不计,missing
2026-08-20,Benfica vs AGF Aarhus,赛果未匹配待人工核验,不计,missing
2026-08-20,Inter Turku vs Copenhagen,赛果未匹配待人工核验,不计,missing
2026-08-20,Midtjylland vs Rijeka,赛果未匹配待人工核验,不计,missing
2026-08-20,Nordsjaelland vs St Gallen,赛果未匹配待人工核验,不计,missing
2026-08-20,Tromso vs Brighton,赛果未匹配待人工核验,不计,missing
2026-08-20,PAOK vs Brann,赛果未匹配待人工核验,不计,missing
2026-08-20,Twente vs Qarabag,赛果未匹配待人工核验,不计,missing
2026-08-20,Gornik Zabrze vs Monaco,赛果未匹配待人工核验,不计,missing
2026-08-20,Sion vs Ajax,赛果未匹配待人工核验,不计,missing
2026-08-20,Gent vs Hibernian,赛果未匹配待人工核验,不计,missing
2026-08-20,Atalanta vs Hapoel Tel Aviv,赛果未匹配待人工核验,不计,missing
2026-08-20,Lugano vs Maccabi Tel Aviv,赛果未匹配待人工核验,不计,missing
2026-08-20,Motherwell vs Freiburg,赛果未匹配待人工核验,不计,missing
2026-08-20,Panathinaikos vs Hradec Kralove,赛果未匹配待人工核验,不计,missing
2026-08-20,Hearts vs Rapid Wien,赛果未匹配待人工核验,不计,missing
2026-08-20,Rangers vs Jablonec,赛果未匹配待人工核验,不计,missing
2026-08-20,Braga vs Austria Wien,赛果未匹配待人工核验,不计,missing
2026-08-20,Getafe vs Partizan,赛果未匹配待人工核验,不计,missing
2026-08-20,Hajduk Split vs Rakow,赛果未匹配待人工核验,不计,missing
2026-08-20,Athletic vs CRB,赛果未匹配待人工核验,不计,missing
2026-08-20,Novorizontino vs America Mineiro,赛果未匹配待人工核验,不计,missing
2026-08-20,Olimpia vs Vasco da Gama,赛果未匹配待人工核验,不计,missing
2026-08-20,Macara vs Santos,赛果未匹配待人工核验,不计,missing
2026-08-20,Botafogo vs Cienciano,赛果未匹配待人工核验,不计,missing
2026-08-21,SC Preussen Munster vs Karlsruher SC,赛果未匹配待人工核验,不计,missing
2026-08-21,St. Tonis vs Eintracht Frankfurt,赛果未匹配待人工核验,不计,missing
2026-08-21,SV Waldhof Mannheim vs Kaiserslautern,赛果未匹配待人工核验,不计,missing
2026-08-21,IK Sirius vs Hacken,赛果未匹配待人工核验,不计,missing
2026-08-21,Aldosivi vs Union Santa Fe,赛果未匹配待人工核验,不计,missing
2026-08-21,Vicenza vs Catanzaro,赛果未匹配待人工核验,不计,missing
2026-08-21,Marseille vs Strasbourg,赛果未匹配待人工核验,不计,missing
2026-08-21,Standard Liege vs La Louviere,赛果未匹配待人工核验,不计,missing
2026-08-21,Hansa Rostock vs Stuttgart,赛果未匹配待人工核验,不计,missing
2026-08-21,Arsenal vs Coventry City,赛果未匹配待人工核验,不计,missing
2026-08-21,Real Betis vs Real Sociedad,赛果未匹配待人工核验,不计,missing
2026-08-21,Estudiantes RC vs San Lorenzo,赛果未匹配待人工核验,不计,missing
2026-08-25,科化体育会 vs 福马亭,赛果未匹配待人工核验,不计,missing
2026-08-25,尤文图德 vs 雷加塔斯巴西,赛果未匹配待人工核验,不计,missing
2026-08-25,戈亚尼亚竞技 vs 保地花高SP,赛果未匹配待人工核验,不计,missing
2026-08-25,宾托大学生 vs 国民波托斯,赛果未匹配待人工核验,不计,missing
2026-08-25,伊希库斯尼斯塔史 vs 梅洛小阿根廷,赛果未匹配待人工核验,不计,missing
2026-08-26,皇家帕托斯 vs 皇家托马亚波,赛果未匹配待人工核验,不计,missing
2026-08-26,米兰达 vs 安索阿特吉,赛果未匹配待人工核验,不计,missing
2026-08-26,佩纳罗尔 vs 图尔克,赛果未匹配待人工核验,不计,missing
2026-08-26,那不勒斯FC vs 奥马哈,赛果未匹配待人工核验,不计,missing
2026-08-27,雷西斯滕SC vs 波特诺山丘,赛果未匹配待人工核验,不计,missing
2026-08-27,拉普拉塔大学生 vs 巴拉卡斯中央队,赛果未匹配待人工核验,不计,missing
2026-08-27,石油独立 vs 瓜比拉,赛果未匹配待人工核验,不计,missing
2026-08-27,巴西国际 vs 格雷米奥,赛果未匹配待人工核验,不计,missing
2026-08-27,拉尼洛斯 vs 百万富翁,赛果未匹配待人工核验,不计,missing
2026-08-28,累西腓航海 vs 巴西竞技,赛果未匹配待人工核验,不计,missing
2026-08-28,诺瓦里桑蒂诺 vs 累西腓体育,赛果未匹配待人工核验,不计,missing
2026-08-30,SKA哈巴罗夫斯克 vs 莫斯科鱼雷,赛果未匹配待人工核验,不计,missing
2026-08-30,卧龙岗狼队 vs 曼立联队,赛果未匹配待人工核验,不计,missing
2026-08-30,悉尼联盟 vs FC圣乔治,赛果未匹配待人工核验,不计,missing
2026-08-30,洛克达尔 vs 新南威尔士大学,赛果未匹配待人工核验,不计,missing
2026-08-30,莱卡特老虎 vs 圣乔治城,赛果未匹配待人工核验,不计,missing
2026-08-30,萨瑟兰鲨鱼 vs SD公鹿FC,赛果未匹配待人工核验,不计,missing
2026-08-30,马可尼 vs 北部精神,赛果未匹配待人工核验,不计,missing
2026-08-30,昆士兰狮队 vs 潘尼苏拉,赛果未匹配待人工核验,不计,missing
2026-08-30,始兴市民 vs 抱川FC,赛果未匹配待人工核验,不计,missing
2026-08-30,乌尼邱夫 vs 荷路比纳,赛果未匹配待人工核验,不计,missing
2026-08-30,哈维瓦 vs 布尔诺B队,赛果未匹配待人工核验,不计,missing
2026-08-30,布咸美恩斯1905B队 vs 艾德米拉布拉格,赛果未匹配待人工核验,不计,missing
2026-08-30,帕尔杜比斯B队 vs 泽尼特卡斯拉夫,赛果未匹配待人工核验,不计,missing
2026-08-30,杜卡拉B队 vs 布拉格斯拉维亚C队,赛果未匹配待人工核验,不计,missing
2026-08-30,布拉格斯拉维亚B队 vs 奥帕瓦,赛果未匹配待人工核验,不计,missing
2026-08-30,皮耳森B队 vs 布德约维茨迪纳摩,赛果未匹配待人工核验,不计,missing
2026-08-30,叶尼塞 vs 辛历克,赛果未匹配待人工核验,不计,missing
2026-08-30,北九州向日葵 vs 松本山雅,赛果未匹配待人工核验,不计,missing
2026-08-30,长野琶扼搂 vs 群马草津温泉,赛果未匹配待人工核验,不计,missing
2026-08-30,瑞拉滋贺 vs 鸟取飞翔,赛果未匹配待人工核验,不计,missing
2026-08-30,查诺莫斯 vs 克里夫巴斯,赛果未匹配待人工核验,不计,missing
2026-08-30,山口雷法 vs 大阪俱乐部,赛果未匹配待人工核验,不计,missing
2026-08-30,金泽 vs FC爱媛,赛果未匹配待人工核验,不计,missing
2026-08-30,高知联合 vs 熊本深红,赛果未匹配待人工核验,不计,missing
2026-08-30,马希高 vs 卡马查,赛果未匹配待人工核验,不计,missing
2026-08-30,阿马兰迪 vs 本菲卡B队,赛果未匹配待人工核验,不计,missing
2026-08-30,木浦市 vs 骊州世宗,赛果未匹配待人工核验,不计,missing
2026-08-30,蔚山市民 vs 釜山运输,赛果未匹配待人工核验,不计,missing
2026-08-30,FC埃因霍温 vs 赫拉克勒斯,赛果未匹配待人工核验,不计,missing
2026-08-30,乌德勒支 vs 埃因霍温,赛果未匹配待人工核验,不计,missing
2026-08-30,水原FC vs 釜山偶像,赛果未匹配待人工核验,不计,missing
2026-08-30,金海 vs 龙仁FC,赛果未匹配待人工核验,不计,missing
2026-08-30,仁川联队 vs 全北现代,赛果未匹配待人工核验,不计,missing
2026-08-30,光州FC vs FC首尔,赛果未匹配待人工核验,不计,missing
2026-08-30,江原FC vs 浦项制铁,赛果未匹配待人工核验,不计,missing
2026-08-30,济州SK vs 大田市民,赛果未匹配待人工核验,不计,missing
2026-08-30,大连鲲城 vs 南通支云,赛果未匹配待人工核验,不计,missing
2026-08-30,宁波职业足球俱乐部 vs 梅州客家,赛果未匹配待人工核验,不计,missing
2026-08-30,哈维德夫 vs 弗雷德里西亚,赛果未匹配待人工核验,不计,missing
2026-08-30,希勒罗德 vs 霍布罗,赛果未匹配待人工核验,不计,missing
2026-08-30,广东广州豹 vs 长春亚泰,赛果未匹配待人工核验,不计,missing
2026-08-30,萨尔布吕肯 vs 罗斯托克,赛果未匹配待人工核验,不计,missing
2026-08-30,圣保利 vs 凯泽斯劳滕,赛果未匹配待人工核验,不计,missing
2026-08-30,达姆施塔特 vs 汉诺威96,赛果未匹配待人工核验,不计,missing
2026-08-30,马格德堡 vs 荷尔斯泰因,赛果未匹配待人工核验,不计,missing
2026-08-30,根特 vs 布鲁日,赛果未匹配待人工核验,不计,missing
2026-08-30,斯基夫 vs 纳斯特维德,赛果未匹配待人工核验,不计,missing
2026-08-30,奥胡斯费马 vs 瓦埃勒,赛果未匹配待人工核验,不计,missing
2026-08-30,利恩比 vs 欧登塞,赛果未匹配待人工核验,不计,missing
2026-08-30,锡尔克堡 vs 中日德兰,赛果未匹配待人工核验,不计,missing
2026-08-30,罗迪纳莫斯科 vs 加里宁格勒巴蒂卡,赛果未匹配待人工核验,不计,missing
2026-08-30,伊特什 vs 阿克托比,赛果未匹配待人工核验,不计,missing
2026-08-30,卡斯比阿克套 vs 杜堡尔,赛果未匹配待人工核验,不计,missing
2026-08-30,侯尼霍斯 vs 弗洛,赛果未匹配待人工核验,不计,missing
2026-08-30,索尔纳 vs 哈马比,赛果未匹配待人工核验,不计,missing
2026-08-30,锡永 vs 卢加诺,赛果未匹配待人工核验,不计,missing
2026-08-30,LNZ切尔卡斯 vs 维勒斯,赛果未匹配待人工核验,不计,missing
2026-08-30,博德闪耀 vs 罗森博格,赛果未匹配待人工核验,不计,missing
2026-08-30,威廉二世 vs 海伦芬,赛果未匹配待人工核验,不计,missing
2026-08-30,费耶诺德 vs 海牙,赛果未匹配待人工核验,不计,missing
2026-08-30,埃斯比约 vs 文德斯尔,赛果未匹配待人工核验,不计,missing
2026-08-30,利贝雷茨 vs 赫拉德茨克拉洛韦,赛果未匹配待人工核验,不计,missing
2026-08-30,巴黎FC vs 尼斯,赛果未匹配待人工核验,不计,missing
2026-08-30,瓦尔贝里 vs 奥迪沃特,赛果未匹配待人工核验,不计,missing
2026-08-30,AFC温布尔登 vs 维冈竞技,赛果未匹配待人工核验,不计,missing
2026-08-30,切尔西 vs 布莱顿,赛果未匹配待人工核验,不计,missing
2026-08-30,利兹联 vs 布伦特福德,赛果未匹配待人工核验,不计,missing
2026-08-30,桑德兰 vs 富勒姆,赛果未匹配待人工核验,不计,missing
2026-08-30,AVS俱乐部 vs 费伦斯,赛果未匹配待人工核验,不计,missing
2026-08-30,弗赖堡 vs 云达不莱梅,赛果未匹配待人工核验,不计,missing
2026-08-30,哈塔 vs 沙迦,赛果未匹配待人工核验,不计,missing
2026-08-30,兰讷斯 vs 奥胡斯,赛果未匹配待人工核验,不计,missing
2026-08-30,巴拉纳竞技 vs 弗鲁米嫩塞,赛果未匹配待人工核验,不计,missing
2026-08-30,维尔通 vs 法兰波垒斯,赛果未匹配待人工核验,不计,missing
2026-08-30,安特卫普 vs 圣图尔登,赛果未匹配待人工核验,不计,missing
2026-08-30,曼斯菲尔德 vs 卢顿,赛果未匹配待人工核验,不计,missing
2026-08-30,莫斯科斯巴达 vs 奥伦堡加索维克,赛果未匹配待人工核验,不计,missing
2026-08-30,哈韦尔斯 vs 曼海姆,赛果未匹配待人工核验,不计,missing
2026-08-30,波兰卡 vs 赫拉尼斯,赛果未匹配待人工核验,不计,missing
2026-08-30,哥德堡 vs 奥尔格里特,赛果未匹配待人工核验,不计,missing
2026-08-30,圣加仑 vs 图恩,赛果未匹配待人工核验,不计,missing
2026-08-30,瓦杜兹 vs 草蜢,赛果未匹配待人工核验,不计,missing
2026-08-30,葡萄牙国民 vs 阿马多拉,赛果未匹配待人工核验,不计,missing
2026-08-30,芬洛 vs 埃门,赛果未匹配待人工核验,不计,missing
2026-08-30,特尔斯达 vs 阿贾克斯,赛果未匹配待人工核验,不计,missing
2026-08-30,索契 vs 切里宾斯克,赛果未匹配待人工核验,不计,missing
2026-08-30,阿迪拿奥 vs 阿斯塔纳,赛果未匹配待人工核验,不计,missing
2026-08-30,兰黑姆 vs 奥德,赛果未匹配待人工核验,不计,missing
2026-08-30,埃格尔森德 vs 阿萨纳,赛果未匹配待人工核验,不计,missing
2026-08-30,布莱尼 vs 海于格松,赛果未匹配待人工核验,不计,missing
2026-08-30,康斯文格 vs 利恩,赛果未匹配待人工核验,不计,missing
2026-08-30,松达尔 vs 斯托姆加斯特,赛果未匹配待人工核验,不计,missing
2026-08-30,禾特 vs 斯塔贝克,赛果未匹配待人工核验,不计,missing
2026-08-30,莫斯 vs 斯托曼,赛果未匹配待人工核验,不计,missing
2026-08-30,诺霍斯 vs 桑德尼斯,赛果未匹配待人工核验,不计,missing
2026-08-30,斯达 vs KFUM奥斯陆,赛果未匹配待人工核验,不计,missing
2026-08-30,桑德菲杰 vs 布兰,赛果未匹配待人工核验,不计,missing
2026-08-30,汉坎 vs 克里斯蒂安松,赛果未匹配待人工核验,不计,missing
2026-08-30,特罗姆瑟 vs 萨普斯堡,赛果未匹配待人工核验,不计,missing
2026-08-30,瓦勒伦加 vs 莫尔德,赛果未匹配待人工核验,不计,missing
2026-08-30,维京 vs 奥勒松,赛果未匹配待人工核验,不计,missing
2026-08-30,卡列度 vs 济斯科夫,赛果未匹配待人工核验,不计,missing
2026-08-30,比尔森胜利 vs 斯洛瓦科,赛果未匹配待人工核验,不计,missing
2026-08-30,特普利斯 vs 亚布洛内茨,赛果未匹配待人工核验,不计,missing
2026-08-30,桑德维根斯 vs 奥斯达,赛果未匹配待人工核验,不计,missing
2026-08-30,安道尔FC vs 埃瓦尔,赛果未匹配待人工核验,不计,missing
2026-08-30,巴拉卡度 vs 莱昂文体,赛果未匹配待人工核验,不计,missing
2026-08-30,皇家马德里 vs 马拉加,赛果未匹配待人工核验,不计,missing
2026-08-30,雷恩 vs 勒芒,赛果未匹配待人工核验,不计,missing
2026-08-30,奥格斯堡 vs 沙尔克04,赛果未匹配待人工核验,不计,missing
2026-08-30,曼彻斯特联 vs 伊普斯维奇,赛果未匹配待人工核验,不计,missing
2026-08-30,北西兰 vs 布隆德比,赛果未匹配待人工核验,不计,missing
2026-08-30,厄洛克士邦 vs 厄德尔,赛果未匹配待人工核验,不计,missing
2026-08-30,埃于普体育 vs 阿拉尼亚体育,赛果未匹配待人工核验,不计,missing
2026-08-30,多洛米蒂贝卢诺 vs 阿尔希欧蕾,赛果未匹配待人工核验,不计,missing
2026-08-30,阿济纳诺基安波 vs 韦尔切利,赛果未匹配待人工核验,不计,missing
2026-08-30,卢西塔诺艾芙拉 vs 比伦塞斯,赛果未匹配待人工核验,不计,missing
2026-08-30,那不勒斯 vs 科莫,赛果未匹配待人工核验,不计,missing
2026-08-30,圣吉罗斯 vs 安德莱赫特,赛果未匹配待人工核验,不计,missing
2026-08-30,皇家联邦 vs CD科瑞亚,赛果未匹配待人工核验,不计,missing
2026-08-30,阿布扎比统一 vs 般尼亚斯,赛果未匹配待人工核验,不计,missing
2026-08-30,下诺夫哥罗德 vs 乌里扬诺夫斯克伏尔加,赛果未匹配待人工核验,不计,missing
2026-08-30,喀山红宝石 vs 马哈奇卡拉,赛果未匹配待人工核验,不计,missing
2026-08-30,哈夫纳夫约杜尔 vs 凯夫拉维克,赛果未匹配待人工核验,不计,missing
2026-08-30,弗拉姆 vs 阿古雷利,赛果未匹配待人工核验,不计,missing
2026-08-30,曼托瓦 vs 恩波利,赛果未匹配待人工核验,不计,missing
2026-08-30,阿雷佐 vs 巴勒莫,赛果未匹配待人工核验,不计,missing
2026-08-30,波尔图B队 vs 佩纳菲尔,赛果未匹配待人工核验,不计,missing
2026-08-30,葡萄牙体育B队 vs 法伦斯,赛果未匹配待人工核验,不计,missing
2026-08-30,费尔格拉斯 vs 查维斯,赛果未匹配待人工核验,不计,missing
2026-08-30,卡萨比亚 vs 摩里伦斯,赛果未匹配待人工核验,不计,missing
2026-08-30,加的斯 vs 巴拉多利德,赛果未匹配待人工核验,不计,missing
2026-08-30,马洛卡 vs 休达,赛果未匹配待人工核验,不计,missing
2026-08-30,利勒斯特罗姆 vs 腓特烈斯塔,赛果未匹配待人工核验,不计,missing
2026-08-30,瑟兰联 vs 利尔斯,赛果未匹配待人工核验,不计,missing
2026-08-30,韦斯特洛 vs 瓦勒海姆,赛果未匹配待人工核验,不计,missing
2026-08-30,CE欧罗巴 vs 哈恩,赛果未匹配待人工核验,不计,missing
2026-08-30,CF安提哥拉 vs 伊维萨,赛果未匹配待人工核验,不计,missing
2026-08-30,亚古拉斯 vs 艾科坎,赛果未匹配待人工核验,不计,missing
2026-08-30,尤尼恩斯塔斯 vs 卢高,赛果未匹配待人工核验,不计,missing
2026-08-30,科隆胜利 vs 普鲁士明斯特,赛果未匹配待人工核验,不计,missing
2026-08-30,拉科鲁尼亚 vs 巴伦西亚,赛果未匹配待人工核验,不计,missing
2026-08-30,奥斯杰克 vs 比路朴,赛果未匹配待人工核验,不计,missing
2026-08-30,奥卡斯 vs 利伯塔德洛哈,赛果未匹配待人工核验,不计,missing
2026-08-30,布拉格斯巴达 vs 布拉格斯拉维亚,赛果未匹配待人工核验,不计,missing
2026-08-30,卡达西亚 vs 费萨里哈曼,赛果未匹配待人工核验,不计,missing
2026-08-30,坎布尔 vs 特温特,赛果未匹配待人工核验,不计,missing
2026-08-30,米特雷圣地亚哥竞技 vs 北索尔塔中央,赛果未匹配待人工核验,不计,missing
2026-08-30,阿尔米兰提布朗 vs 玛德恩,赛果未匹配待人工核验,不计,missing
2026-08-30,班菲尔德 vs 河床,赛果未匹配待人工核验,不计,missing
2026-08-30,文尼沙BB vs 波德鲁姆士邦,赛果未匹配待人工核验,不计,missing
2026-08-30,伊斯坦布尔巴萨克塞尔 vs 卡斯帕萨,赛果未匹配待人工核验,不计,missing
2026-08-30,萨姆松体育 vs 费内巴切,赛果未匹配待人工核验,不计,missing
2026-08-30,全男孩竞技 vs 查克佛伊维,赛果未匹配待人工核验,不计,missing
2026-08-30,卡塞罗斯学生队 vs 费罗卡利,赛果未匹配待人工核验,不计,missing
2026-08-30,帕特罗纳图 vs 阿马格罗,赛果未匹配待人工核验,不计,missing
2026-08-30,玛伦 vs 圣米格尔,赛果未匹配待人工核验,不计,missing
2026-08-30,阿特兰大竞技 vs 圣胡安圣马丁,赛果未匹配待人工核验,不计,missing
2026-08-30,卡利亚里 vs 国际米兰,赛果未匹配待人工核验,不计,missing
2026-08-30,拉齐奥 vs 热那亚,赛果未匹配待人工核验,不计,missing
2026-08-30,摩纳哥 vs 马赛,赛果未匹配待人工核验,不计,missing
2026-08-30,阿古拉斯多拉达斯 vs 茨高,赛果未匹配待人工核验,不计,missing
2026-08-30,波特诺山丘 vs 亚松森自由,赛果未匹配待人工核验,不计,missing
2026-08-30,奥瓦 vs 戈亚尼亚竞技,赛果未匹配待人工核验,不计,missing
2026-08-30,米内罗美洲 vs 庞特普雷塔,赛果未匹配待人工核验,不计,missing
2026-08-30,弗拉门戈 vs 博塔弗戈,赛果未匹配待人工核验,不计,missing
2026-08-30,科林蒂安 vs 桑托斯,赛果未匹配待人工核验,不计,missing
2026-08-30,古比奥 vs 雷吉亚纳,赛果未匹配待人工核验,不计,missing
2026-08-30,帕格特斯 vs 布雷西亚,赛果未匹配待人工核验,不计,missing
2026-08-30,隆美辛尼 vs 吉安纳,赛果未匹配待人工核验,不计,missing
2026-08-30,比萨 vs 卡坦萨罗,赛果未匹配待人工核验,不计,missing
2026-08-30,贝内文托 vs 南蒂罗尔,赛果未匹配待人工核验,不计,missing
2026-08-30,康塞普西翁大学 vs 智利大学,赛果未匹配待人工核验,不计,missing
2026-08-30,瓦路尔 vs IA阿克拉内斯,赛果未匹配待人工核验,不计,missing
2026-08-30,法马利康 vs 吉维森特,赛果未匹配待人工核验,不计,missing
2026-08-30,科尔多瓦 vs 格拉纳达,赛果未匹配待人工核验,不计,missing
2026-08-30,塔拉戈纳 vs 萨拉戈萨,赛果未匹配待人工核验,不计,missing
2026-08-30,塞尔塔 vs 毕尔巴鄂竞技,赛果未匹配待人工核验,不计,missing
2026-08-30,科多巴竞赛会 vs 科隆竞技,赛果未匹配待人工核验,不计,missing
2026-08-30,奥伦斯CS vs 马卡拉,赛果未匹配待人工核验,不计,missing
2026-08-30,哥伦布机员 vs 新英格兰革命,赛果未匹配待人工核验,不计,missing
2026-08-30,雷加塔斯巴西 vs 克里丘马,赛果未匹配待人工核验,不计,missing
2026-08-30,戈多伊克鲁斯 vs 圣德尔模,赛果未匹配待人工核验,不计,missing
