日期,赛事,比赛分类,比赛,赛果,比分来源,模拟ID,市场框架,即时亚盘,盘口线,盘口档位,上盘方,候选标签,候选依据,候选映射方向,意图水位,意图结算,意图盈亏单位,意图均注盈亏,反向方向,反向水位,反向结算,反向盈亏单位,反向均注盈亏,有真实投注量,Polymarket/交易所情绪,流动性
2026-09-05,中甲,成年联赛T2,无锡吴钩 vs 延边龙鼎,2-0,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2951637-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.02/-0.25/0.8,-0.25,平手/半球,客队,诱上/阻下,客队上盘，让球加深，上盘水位0.80，下盘水位1.02，欧赔削弱上盘,下盘,1.020,赢,+1.0,+1.020,上盘,0.800,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,中甲,成年联赛T2,长春亚泰 vs 宁波职业足球俱乐部,2-0,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2951638-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.94/0.75/0.88,0.75,半球/一球,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.94，下盘水位0.88，欧赔削弱上盘,上盘,0.940,赢,+1.0,+0.940,下盘,0.880,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,中超,成年联赛T1,武汉三镇 vs 青岛西海岸,2-2,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2944807-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.06/0.25/0.8,0.25,平手/半球,主队,降温保护/诱下,主队上盘，让球退盘，上盘水位1.06，下盘水位0.80，欧赔支持上盘,上盘,1.060,输半,-0.5,-0.500,下盘,0.800,赢半,+0.5,+0.400,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,德乙,成年联赛T2,沃尔夫斯堡 vs 科特布斯,4-4,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3019127-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.82/1.25/1.07,1.25,一球/球半,主队,降温保护/诱下,主队上盘，让球退盘，上盘水位0.82，下盘水位1.07，欧赔变化不大,上盘,0.820,输,-1.0,-1.000,下盘,1.070,赢,+1.0,+1.070,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,德乙,成年联赛T2,荷尔斯泰因 vs 纽伦堡,2-2,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3019123-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.99/0.25/0.9,0.25,平手/半球,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.99，下盘水位0.90，欧赔削弱上盘,上盘,0.990,输半,-0.5,-0.500,下盘,0.900,赢半,+0.5,+0.450,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,挪乙,成年联赛T3,弗洛 vs 特罗姆斯达伦,1-0,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2913511-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.98/-0.5/0.72,-0.5,半球,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.72，下盘水位0.98，欧赔变化不大,下盘,0.980,赢,+1.0,+0.980,上盘,0.720,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,挪乙,成年联赛T3,桑韦肯 vs EIK通斯堡,2-0,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2913334-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.84/0.75/0.86,0.75,半球/一球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.84，下盘水位0.86，欧赔削弱上盘,下盘,0.860,输,-1.0,-1.000,上盘,0.840,赢,+1.0,+0.840,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,瑞典甲,成年联赛T2,韦纳穆 vs 瓦尔贝里,1-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2914686-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.88/0.0/1.01,0,平手,主队,降温保护/诱下,主队上盘，让球退盘，上盘水位0.88，下盘水位1.01，欧赔变化不大,上盘,0.880,走,0.0,0.000,下盘,1.010,走,-0.0,0.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,中甲,成年联赛T2,佛山南狮 vs 大连鲲城,0-0,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2951640-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.0/-0.25/0.82,-0.25,平手/半球,客队,降温保护/诱下,客队上盘，让球退盘，上盘水位0.82，下盘水位1.00，欧赔支持上盘,上盘,0.820,输半,-0.5,-0.500,下盘,1.000,赢半,+0.5,+0.500,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,中甲,成年联赛T2,南通支云 vs 广东广州豹,1-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2951641-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.83/-0.5/0.99,-0.5,半球,客队,真实示强/阻上,客队上盘，让球加深，上盘水位0.99，下盘水位0.83，欧赔削弱上盘,上盘,0.990,输,-1.0,-1.000,下盘,0.830,赢,+1.0,+0.830,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,英冠,成年联赛T2,斯托克城 vs 查尔顿,4-0,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3008207-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.83/0.25/1.05,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.83，下盘水位1.05，欧赔变化不大,下盘,1.050,输,-1.0,-1.000,上盘,0.830,赢,+1.0,+0.830,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,英冠,成年联赛T2,普雷斯顿 vs 布莱克本,2-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3008204-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.12/0.25/0.77,0.25,平手/半球,主队,阻上/诱下,主队上盘，让球加深，上盘水位1.12，下盘水位0.77，欧赔变化不大,上盘,1.120,赢,+1.0,+1.120,下盘,0.770,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,英冠,成年联赛T2,林肯城 vs 南安普敦,1-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3008202-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.05/-0.5/0.83,-0.5,半球,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.83，下盘水位1.05，欧赔变化不大,下盘,1.050,赢,+1.0,+1.050,上盘,0.830,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,英甲,成年联赛T3,维冈竞技 vs 斯托克港,0-4,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3007089-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.83/-0.5/1.05,-0.5,半球,客队,阻上/诱下,客队上盘，让球加深，上盘水位1.05，下盘水位0.83，欧赔变化不大,上盘,1.050,赢,+1.0,+1.050,下盘,0.830,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,英超,成年联赛T1,纽卡斯尔联 vs 伯恩茅斯,2-2,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3003877-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.83/0.25/1.06,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.83，下盘水位1.06，欧赔削弱上盘,下盘,1.060,赢半,+0.5,+0.530,上盘,0.830,输半,-0.5,-0.500,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,中超,成年联赛T1,大连英博 vs 青岛海牛,2-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2944809-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.0/1.5/0.86,1.5,球半,主队,阻上/诱下,主队上盘，让球加深，上盘水位1.00，下盘水位0.86，欧赔变化不大,上盘,1.000,输,-1.0,-1.000,下盘,0.860,赢,+1.0,+0.860,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,中超,成年联赛T1,山东泰山 vs 深圳新鹏城,1-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2944810-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.82/1.0/1.04,1,一球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.82，下盘水位1.04，欧赔变化不大,下盘,1.040,赢,+1.0,+1.040,上盘,0.820,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,丹麦甲,成年联赛T2,AB格莱萨克瑟 vs 奥尔堡,0-2,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2998107-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.82/0.25/1.0,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球加深，上盘水位0.82，下盘水位1.00，欧赔削弱上盘,下盘,1.000,赢,+1.0,+1.000,上盘,0.820,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,丹麦甲,成年联赛T2,弗雷德里西亚 vs 埃斯比约,1-0,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2998108-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.84/1.25/1.05,1.25,一球/球半,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.84，下盘水位1.05，欧赔变化不大,下盘,1.050,赢半,+0.5,+0.525,上盘,0.840,输半,-0.5,-0.500,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,哈萨克超,未知分类,卡斯比阿克套 vs 阿拉木图凯拉特,0-3,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2953209-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.8/-1.25/1.06,-1.25,一球/球半,客队,降温保护/诱下,客队上盘，让球退盘，上盘水位1.06，下盘水位0.80，欧赔变化不大,上盘,1.060,赢,+1.0,+1.060,下盘,0.800,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,德丙,成年联赛T3,普鲁士明斯特 vs 哈韦尔斯,2-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3026031-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.81/0.75/1.05,0.75,半球/一球,主队,降温保护/诱下,主队上盘，让球退盘，上盘水位0.81，下盘水位1.05，欧赔变化不大,上盘,0.810,赢半,+0.5,+0.405,下盘,1.050,输半,-0.5,-0.500,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,德丙,成年联赛T3,曼海姆 vs SC维尔,0-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3026029-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.98/0.25/0.88,0.25,平手/半球,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.98，下盘水位0.88，欧赔变化不大,上盘,0.980,输,-1.0,-1.000,下盘,0.880,赢,+1.0,+0.880,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,德丙,成年联赛T3,梅彭 vs 萨尔布吕肯,1-6,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3026030-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.83/0.0/1.03,0,平手,客队,降温保护/诱下,客队上盘，让球退盘，上盘水位1.03，下盘水位0.83，欧赔支持上盘,上盘,1.030,赢,+1.0,+1.030,下盘,0.830,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,德丙,成年联赛T3,罗斯托克 vs 韦恩,1-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3026027-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.02/1.0/0.84,1,一球,主队,阻上/诱下,主队上盘，让球加深，上盘水位1.02，下盘水位0.84，欧赔变化不大,上盘,1.020,输,-1.0,-1.000,下盘,0.840,赢,+1.0,+0.840,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,德丙,成年联赛T3,雷根斯堡 vs 杜伊斯堡,1-2,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3026032-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.06/-0.5/0.8,-0.5,半球,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.80，下盘水位1.06，欧赔削弱上盘,下盘,1.060,输,-1.0,-1.000,上盘,0.800,赢,+1.0,+0.800,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,拉脱超,未知分类,图库姆斯 vs 奥格雷联合,2-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2940742-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.99/0.75/0.87,0.75,半球/一球,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.99，下盘水位0.87，欧赔变化不大,上盘,0.990,赢半,+0.5,+0.495,下盘,0.870,输半,-0.5,-0.500,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,挪乙,成年联赛T3,斯吉德 vs 卡积沙斯,4-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2913514-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.94/-0.75/0.76,-0.75,半球/一球,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.76，下盘水位0.94，欧赔削弱上盘,下盘,0.940,赢,+1.0,+0.940,上盘,0.760,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,法乙,成年联赛T2,兰斯 vs 甘冈,2-2,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2997715-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.89/0.75/0.99,0.75,半球/一球,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.89，下盘水位0.99，欧赔削弱上盘,上盘,0.890,输,-1.0,-1.000,下盘,0.990,赢,+1.0,+0.990,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,法乙,成年联赛T2,梅斯 vs 罗德兹,4-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-2997712-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.81/0.25/1.07,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.81，下盘水位1.07，欧赔变化不大,下盘,1.070,输,-1.0,-1.000,上盘,0.810,赢,+1.0,+0.810,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,西乙,成年联赛T2,皇家社会B队 vs 特内里费,1-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3014062-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.85/0.0/1.04,0,平手,主队,阻下/下盘保护,主队上盘，让球基本稳定，上盘水位0.85，下盘水位1.04，欧赔削弱上盘,下盘,1.040,走,-0.0,0.000,上盘,0.850,走,0.0,0.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,乌克超,成年联赛T1,梅塔利斯特1925 vs 奥博隆,5-0,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3012502-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.86/1.25/1.02,1.25,一球/球半,主队,阻下/下盘保护,主队上盘，让球基本稳定，上盘水位0.86，下盘水位1.02，欧赔变化不大,下盘,1.020,输,-1.0,-1.000,上盘,0.860,赢,+1.0,+0.860,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,奥地利杯,国内杯赛,拉夫尼茨 vs 奥地利卢斯特瑙,2-6,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3062075-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.92/-1.5/0.78,-1.5,球半,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.78，下盘水位0.92，欧赔变化不大,下盘,0.920,输,-1.0,-1.000,上盘,0.780,赢,+1.0,+0.780,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,法丙,成年联赛T3,奥维涅 vs 奥兰斯,1-1,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3019986-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.99/0.25/0.83,0.25,平手/半球,主队,诱下/上盘降温,主队上盘，让球基本稳定，上盘水位0.99，下盘水位0.83，欧赔变化不大,上盘,0.990,输半,-0.5,-0.500,下盘,0.830,赢半,+0.5,+0.415,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,法丙,成年联赛T3,孔卡诺 vs 蒂翁维尔,2-2,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3019983-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.95/0.5/0.87,0.5,半球,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.95，下盘水位0.87，欧赔削弱上盘,上盘,0.950,输,-1.0,-1.000,下盘,0.870,赢,+1.0,+0.870,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-05,法丙,成年联赛T3,巴斯蒂亚 vs 亚眠,0-3,Titan007完场快照:20260906_083311_titan007_odds_snapshot.csv,20260905-TITAN-3019981-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.81/0.25/1.01,0.25,平手/半球,主队,降温保护/诱下,主队上盘，让球退盘，上盘水位0.81，下盘水位1.01，欧赔变化不大,上盘,0.810,输,-1.0,-1.000,下盘,1.010,赢,+1.0,+1.010,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
