日期,赛事,比赛,市场框架,模拟盘口/价格,模拟方向,赛果,模拟盈亏单位,模型更新
2026-09-04,丹麦乙,B93哥本哈根 vs 纳斯特维德,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,B93哥本哈根1-1纳斯特维德,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,丹麦甲,靴尔科治 vs 希勒罗德,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,靴尔科治1-1希勒罗德,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,丹麦超,维堡 vs 利恩比,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,维堡0-2利恩比,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,土超,伊斯坦布尔巴萨克塞尔 vs 加拉塔萨雷,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,伊斯坦布尔巴萨克塞尔2-3加拉塔萨雷,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,奥地利杯,弗洛里茨多夫 vs 布雷根茨,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,弗洛里茨多夫0-0布雷根茨,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,奥地利杯,瓦勒恩 vs 里德,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,瓦勒恩1-5里德,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,德丙,因戈尔施塔特 vs 亚琛,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,因戈尔施塔特0-3亚琛,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,挪超,奥勒松 vs 斯达,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,奥勒松2-0斯达,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,挪超,腓特烈斯塔 vs 博德闪耀,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,腓特烈斯塔1-2博德闪耀,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,法甲,里昂 vs 欧塞尔,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,里昂3-1欧塞尔,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,瑞典甲,北雪平 vs 卢恩斯基尔,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,北雪平2-2卢恩斯基尔,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,瑞典甲,奥斯达 vs 北欧联FC,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,奥斯达1-2北欧联FC,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,西协甲,比利亚雷亚尔B队 vs 艾基史拉斯,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,比利亚雷亚尔B队2-1艾基史拉斯,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,非冠杯,AS杜柏特 vs 扎马雷克,亚盘盘口缺失-不形成模拟,对应市场真实盘口/水位缺失；不形成模拟,无市场模拟（亚盘线/水位缺失）,AS杜柏特1-2扎马雷克,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,非联杯,希拉尔港 vs 韦尔瓦罗,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,希拉尔港2-1韦尔瓦罗,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,南非超,理查兹湾FC vs 阿玛祖鲁,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,理查兹湾FC1-2阿玛祖鲁,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,南非超,马鲁莫加兰斯 vs 贝联,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,马鲁莫加兰斯2-2贝联,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,瑞士甲,克里恩斯 vs 乌契,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,克里恩斯0-2乌契,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,瑞士甲,阿劳 vs 瑞普斯威尔,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,阿劳3-2瑞普斯威尔,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,约旦杯,艾尔利 vs 沙巴哈瓦拉,亚盘盘口缺失-不形成模拟,对应市场真实盘口/水位缺失；不形成模拟,无市场模拟（亚盘线/水位缺失）,艾尔利0-0沙巴哈瓦拉,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,科威特联,阿拉比科威特 vs 苏拉比卡,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,阿拉比科威特3-3苏拉比卡,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,伊拉联,巴格达警察 vs 阿比尔,亚盘盘口缺失-不形成模拟,对应市场真实盘口/水位缺失；不形成模拟,无市场模拟（亚盘线/水位缺失）,巴格达警察0-0阿比尔,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,伊拉联,纳夫特米桑 vs 纽罗兹SC,亚盘盘口缺失-不形成模拟,对应市场真实盘口/水位缺失；不形成模拟,无市场模拟（亚盘线/水位缺失）,纳夫特米桑0-2纽罗兹SC,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,克亚甲,瓦拉日丁 vs 依斯特拉,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,瓦拉日丁0-0依斯特拉,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,比乙,比斯查 vs 艾斯登,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,比斯查4-2艾斯登,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,比乙,登德 vs 瑟兰联,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,登德2-0瑟兰联,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,沙特联,吉达国民 vs 利雅得体育,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,吉达国民5-0利雅得体育,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,法乙,USL敦刻尔克 vs 克莱蒙,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,USL敦刻尔克1-1克莱蒙,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,法乙,布洛涅 vs 第戎,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,布洛涅1-1第戎,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,法乙,拉瓦勒 vs 红星,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,拉瓦勒1-2红星,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,法乙,格勒诺布尔 vs 阿纳西,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,格勒诺布尔1-2阿纳西,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,法乙,波城 vs 索肖,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,波城1-1索肖,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,荷乙,埃门 vs 福伦丹,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,埃门5-3福伦丹,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,荷乙,瓦尔韦克 vs 布雷达,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,瓦尔韦克4-2布雷达,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,荷乙,维特斯 vs 奥斯,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,维特斯2-1奥斯,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,荷乙,赫尔蒙德 vs 芬洛,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,赫尔蒙德4-2芬洛,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,荷乙,赫拉克勒斯 vs 格拉夫夏普,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,赫拉克勒斯5-0格拉夫夏普,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,荷甲,鹿特丹斯巴达 vs 兹沃勒,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,鹿特丹斯巴达2-2兹沃勒,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
2026-09-04,非冠杯,圣罗拉 vs 禾洛亚,亚盘盘口缺失-不形成模拟,对应市场真实盘口/水位缺失；不形成模拟,无市场模拟（亚盘线/水位缺失）,圣罗拉1-0禾洛亚,不计,历史比分自动回补；来源=Titan007完场页:20260905_112948_Over_20260904.htm；仍需人工复盘盘口路径
