date,region,grouping,coverage_note,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-14,东南亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,亚冠精英独立赛事,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,0.94,1,0,True
2026-09-14,其他,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,13,12,1,6,2,1,0,3,0.7,3.725,0.2865384615384615,0.3104166666666667,1.0084615384615385,5,8,True
2026-09-14,北美,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,南亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,南美,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,大洋洲,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,欧洲五大,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,2,2,0,0,0,1,0,1,0.0,-1,-0.5,-0.5,0.81,2,0,True
2026-09-14,欧洲非五大,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,3,3,0,2,0,0,0,1,0.6666666666666666,1.12,0.37333333333333335,0.37333333333333335,1.0566666666666666,2,1,True
2026-09-14,西亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,西亚/中亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,非洲,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,青年赛事,overlapping_overlay,可与地区重叠，不可相加,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,女足,overlapping_overlay,可与地区重叠，不可相加,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,0.69,1,0,True
2026-09-14,杯赛,overlapping_overlay,可与地区重叠，不可相加,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,0.94,1,0,True
2026-09-15,东亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,东南亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,亚冠精英独立赛事,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,2,2,0,1,0,0,0,1,0.5,-0.010000000000000009,-0.0050000000000000044,-0.0050000000000000044,0.985,2,0,True
2026-09-15,亚运会足球独立赛事,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,1,1,0,1,0,0,0,0,1.0,0.86,0.86,0.86,0.86,1,0,True
2026-09-15,其他,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,10,9,1,4,0,1,0,4,0.5,0.15000000000000013,0.015000000000000013,0.01666666666666668,1.005,0,10,True
2026-09-15,北美,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.16,0,1,True
2026-09-15,南亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,南美,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.99,0,1,True
2026-09-15,大洋洲,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,欧洲五大,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,15,15,0,8,0,0,2,5,0.5714285714285714,1.8600000000000003,0.12400000000000003,0.12400000000000003,0.9953333333333334,7,8,True
2026-09-15,欧洲非五大,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,2,2,0,1,0,0,0,1,0.5,0.050000000000000044,0.025000000000000022,0.025000000000000022,1.005,1,1,True
2026-09-15,西亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,西亚/中亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,非洲,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,青年赛事,overlapping_overlay,可与地区重叠，不可相加,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.99,0,1,True
2026-09-15,女足,overlapping_overlay,可与地区重叠，不可相加,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,杯赛,overlapping_overlay,可与地区重叠，不可相加,6,6,0,2,0,0,0,4,0.3333333333333333,-2.2199999999999998,-0.36999999999999994,-0.36999999999999994,0.9916666666666667,3,3,True
2026-09-16,东亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,东南亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,亚冠独立赛事,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,0.905,2,0,True
2026-09-16,亚冠精英独立赛事,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,1,1,0,1,0,0,0,0,1.0,1.01,1.01,1.01,1.01,0,1,True
2026-09-16,其他,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,8,8,0,3,2,1,0,2,0.6666666666666666,1.8850000000000002,0.23562500000000003,0.23562500000000003,0.9975,4,4,True
2026-09-16,北美,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,2,1,1,1,0,0,0,0,1.0,0.86,0.43,0.86,0.925,1,1,True
2026-09-16,南亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,南美,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,大洋洲,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,欧洲五大,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,10,9,1,2,0,0,3,4,0.26666666666666666,-3.38,-0.33799999999999997,-0.37555555555555553,1.013,3,7,True
2026-09-16,欧洲非五大,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,4,4,0,2,0,0,0,2,0.5,-0.17000000000000004,-0.04250000000000001,-0.04250000000000001,0.9325,2,2,True
2026-09-16,欧联独立赛事,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,4,4,0,1,0,0,1,2,0.2857142857142857,-1.48,-0.37,-0.37,0.9875,3,1,True
2026-09-16,西亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,西亚/中亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,非洲,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,青年赛事,overlapping_overlay,可与地区重叠，不可相加,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,女足,overlapping_overlay,可与地区重叠，不可相加,1,1,0,1,0,0,0,0,1.0,0.86,0.86,0.86,0.86,0,1,True
2026-09-16,杯赛,overlapping_overlay,可与地区重叠，不可相加,15,15,0,7,0,0,2,6,0.5,-0.2899999999999999,-0.019333333333333327,-0.019333333333333327,0.9573333333333334,9,6,True
2026-09-17,东亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,东南亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,亚冠独立赛事,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.93,1,0,True
2026-09-17,其他,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,11,11,0,5,0,0,0,6,0.45454545454545453,-0.8899999999999998,-0.08090909090909089,-0.08090909090909089,1.020909090909091,2,9,True
2026-09-17,北美,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.98,0,1,True
2026-09-17,南亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,南美,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,大洋洲,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,欧洲五大,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,2,2,0,1,1,0,0,0,1.0,1.52,0.76,0.76,1.01,1,1,True
2026-09-17,欧洲非五大,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,欧联独立赛事,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,4,4,0,2,0,0,0,2,0.5,-0.010000000000000009,-0.0025000000000000022,-0.0025000000000000022,0.98,3,1,True
2026-09-17,西亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,西亚/中亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,非洲,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,青年赛事,overlapping_overlay,可与地区重叠，不可相加,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.02,0,1,True
2026-09-17,女足,overlapping_overlay,可与地区重叠，不可相加,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.02,0,1,True
2026-09-17,杯赛,overlapping_overlay,可与地区重叠，不可相加,11,11,0,4,0,0,0,7,0.36363636363636365,-3.1,-0.2818181818181818,-0.2818181818181818,0.9736363636363637,7,4,True
2026-09-18,东亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.11,0,1,True
2026-09-18,东南亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,亚运会足球独立赛事,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.87,0,1,True
2026-09-18,其他,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,38,38,0,10,6,1,4,17,0.40625,-5.835,-0.15355263157894736,-0.15355263157894736,1.041578947368421,9,29,False
2026-09-18,北美,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,南亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,南美,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,2,1,1,0,0,1,0,0,,0.0,0.0,0.0,1.0750000000000002,1,1,True
2026-09-18,大洋洲,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,欧洲五大,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,8,8,0,4,0,0,2,2,0.5714285714285714,1.1300000000000001,0.14125000000000001,0.14125000000000001,1.0462500000000001,5,3,True
2026-09-18,欧洲非五大,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.04,1,0,True
2026-09-18,西亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,西亚/中亚,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,3,3,0,0,0,1,0,2,0.0,-2.0,-0.6666666666666666,-0.6666666666666666,1.0033333333333332,0,3,True
2026-09-18,非洲,canonical_classifier,零表示无已识别候选，不证明当地没有比赛；其他未强行重新归属,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,青年赛事,overlapping_overlay,可与地区重叠，不可相加,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,女足,overlapping_overlay,可与地区重叠，不可相加,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,杯赛,overlapping_overlay,可与地区重叠，不可相加,2,2,0,0,0,1,0,1,0.0,-1.0,-0.5,-0.5,0.9850000000000001,0,2,True
